order,id,context,recipient,event,kind,text,output,status,bytes,sha256,notes
16,hs_v2_030,SCHOOL,MOM,HUG,question,Who will give the mom in the middle a hug now that they're sad at the kid's school?,assets/home_school/generated/audio/hs_v2_030_school_mom_hug_question.mp3,NOT_RECORDED,,,
17,hs_v2_031,SCHOOL,MOM,FOOD,event,"Oh no! At the kid's school, the mom in the middle is hungry now!",assets/home_school/generated/audio/hs_v2_031_school_mom_food_event.mp3,NOT_RECORDED,,,
18,hs_v2_032,SCHOOL,MOM,FOOD,question,Who will give the mom in the middle strawberries now that they're hungry at the kid's school?,assets/home_school/generated/audio/hs_v2_032_school_mom_food_question.mp3,NOT_RECORDED,,,
19,hs_v2_033,SCHOOL,MOM,HELP,event,"Oh no! At the kid's school, the mom in the middle dropped a heavy box!",assets/home_school/generated/audio/hs_v2_033_school_mom_help_event.mp3,NOT_RECORDED,,,
20,hs_v2_034,SCHOOL,MOM,HELP,question,Who will help the mom in the middle pick up the heavy box at the kid's school?,assets/home_school/generated/audio/hs_v2_034_school_mom_help_question.mp3,NOT_RECORDED,,,
21,hs_v2_035,SCHOOL,DAD,HUG,question,Who will give the dad in the middle a hug now that they're sad at the kid's school?,assets/home_school/generated/audio/hs_v2_035_school_dad_hug_question.mp3,NOT_RECORDED,,,
22,hs_v2_036,SCHOOL,DAD,FOOD,event,"Oh no! At the kid's school, the dad in the middle is hungry now!",assets/home_school/generated/audio/hs_v2_036_school_dad_food_event.mp3,NOT_RECORDED,,,
23,hs_v2_037,SCHOOL,DAD,FOOD,question,Who will give the dad in the middle strawberries now that they're hungry at the kid's school?,assets/home_school/generated/audio/hs_v2_037_school_dad_food_question.mp3,NOT_RECORDED,,,
24,hs_v2_038,SCHOOL,DAD,HELP,event,"Oh no! At the kid's school, the dad in the middle dropped a heavy box!",assets/home_school/generated/audio/hs_v2_038_school_dad_help_event.mp3,NOT_RECORDED,,,
25,hs_v2_039,SCHOOL,DAD,HELP,question,Who will help the dad in the middle pick up the heavy box at the kid's school?,assets/home_school/generated/audio/hs_v2_039_school_dad_help_question.mp3,NOT_RECORDED,,,
26,hs_v2_040,SCHOOL,TEACHER,HUG,question,Who will give the teacher in the middle a hug now that they're sad at the kid's school?,assets/home_school/generated/audio/hs_v2_040_school_teacher_hug_question.mp3,NOT_RECORDED,,,
27,hs_v2_041,SCHOOL,TEACHER,FOOD,event,"Oh no! At the kid's school, the teacher in the middle is hungry now!",assets/home_school/generated/audio/hs_v2_041_school_teacher_food_event.mp3,NOT_RECORDED,,,
28,hs_v2_042,SCHOOL,TEACHER,FOOD,question,Who will give the teacher in the middle strawberries now that they're hungry at the kid's school?,assets/home_school/generated/audio/hs_v2_042_school_teacher_food_question.mp3,NOT_RECORDED,,,
29,hs_v2_043,SCHOOL,TEACHER,HELP,event,"Oh no! At the kid's school, the teacher in the middle dropped a heavy box!",assets/home_school/generated/audio/hs_v2_043_school_teacher_help_event.mp3,NOT_RECORDED,,,
30,hs_v2_044,SCHOOL,TEACHER,HELP,question,Who will help the teacher in the middle pick up the heavy box at the kid's school?,assets/home_school/generated/audio/hs_v2_044_school_teacher_help_question.mp3,NOT_RECORDED,,,
